County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Pottawattamie,IA,19155,68718.0,11.03,0.63,1.55,8.48,10.7,33.05,17.65,63.0,11639.31,0.2069,1.0,Uninsured
Poweshiek,IA,19157,61192.0,9.82,0.34,1.18,3.43,10.45,33.1,17.15,63.35,10073.82,0.1945,1.0,Uninsured
Ringgold,IA,19159,67898.0,7.87,1.13,0.13,2.9,10.65,34.15,16.5,62.1,13125.3,0.2041,1.0,Uninsured
Sac,IA,19161,68778.0,8.5,0.53,0.33,3.88,10.85,34.0,16.7,65.2,13991.93,0.2035,1.0,Uninsured
Scott,IA,19163,72792.0,11.63,0.97,7.03,7.27,10.2,31.05,16.7,66.4,12037.73,0.1901,1.0,Uninsured
Shelby,IA,19165,70295.0,8.61,0.32,0.92,3.25,10.9,33.6,16.6,61.2,13173.83,0.1999,1.0,Uninsured
Sioux,IA,19167,81914.0,5.69,1.55,0.5,11.41,9.35,31.5,16.15,59.85,11278.11,0.157,1.0,Uninsured
Story,IA,19169,66197.0,17.2,0.33,2.37,3.81,8.95,28.7,16.6,67.9,10599.34,0.1717,1.0,Poverty
Tama,IA,19171,65483.0,14.77,1.07,1.04,11.55,12.15,34.55,17.5,62.4,11161.99,0.2641,2.0,Poverty
Taylor,IA,19173,65926.0,8.38,0.19,0.12,8.94,11.45,35.7,16.95,62.35,14547.21,0.222,2.0,Hypertension
Union,IA,19175,56495.0,11.57,1.16,0.39,3.16,10.95,34.55,17.3,63.45,12635.46,0.2297,2.0,Uninsured
Van Buren,IA,19177,58417.0,10.93,3.73,0.42,1.64,12.2,36.5,18.0,59.5,13646.32,0.2874,3.0,Uninsured
Wapello,IA,19179,56209.0,17.0,1.06,3.21,11.53,12.5,33.8,17.75,64.1,11854.6,0.2749,3.0,Poverty
Warren,IA,19181,89741.0,5.95,0.27,0.75,3.24,9.05,30.65,15.850000000000001,66.85,10948.44,0.1343,1.0,Uninsured
Washington,IA,19183,71122.0,7.34,0.94,0.4,7.02,10.8,34.45,16.7,64.65,11169.46,0.2045,1.0,Uninsured
Wayne,IA,19185,58257.0,13.06,5.1,0.29,1.8,11.55,35.2,17.799999999999997,60.75,12475.82,0.2905,3.0,Uninsured
Webster,IA,19187,65335.0,11.22,1.14,3.4,5.88,10.95,35.0,17.45,62.8,10718.7,0.2311,2.0,Uninsured
Winnebago,IA,19189,62853.0,7.28,0.5,0.81,5.36,10.45,33.7,16.6,63.95,10625.43,0.1885,1.0,Uninsured
Winneshiek,IA,19191,67770.0,7.99,0.38,0.81,2.42,9.6,31.35,15.95,66.3,9509.16,0.1593,1.0,Uninsured
Woodbury,IA,19193,68399.0,13.15,0.67,4.26,18.09,11.55,33.4,17.8,57.65,12097.33,0.2341,2.0,Poverty
Worth,IA,19195,69897.0,7.24,1.28,1.04,3.25,10.9,34.55,16.6,65.25,10340.33,0.2098,2.0,Uninsured
Wright,IA,19197,58240.0,14.03,0.54,0.16,13.66,12.4,34.95,16.55,61.05,12175.31,0.2625,2.0,Poverty
Allen,KS,20001,55059.0,14.66,2.19,1.74,4.13,11.3,33.95,17.85,56.1,14631.89,0.2559,2.0,Uninsured
Anderson,KS,20003,67651.0,12.87,1.99,0.99,2.62,11.65,36.0,18.05,53.5,14447.06,0.2663,3.0,Uninsured
